Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue
1,33.0,1,10,2.0,15.0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,69.80000305175781,69.80000305175781,0.0,0.0,11.079999923706055,80.87999725341797
0,35.0,1,0,1.0,25.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,80.0,5040.2001953125,0.0,0.0,2143.260009765625,7183.4599609375
0,71.0,0,21,9.0,6.0,1,1,1,1,2,0,0,0,0,0,1,1,1,0,0,0,85.30000305175781,2661.10009765625,0.0,0.0,1587.199951171875,4248.2998046875
0,57.0,0,12,7.0,33.0,2,1,1,1,2,0,0,1,0,1,1,1,1,0,1,0,100.5,2599.949951171875,0.0,0.0,667.1599731445312,3267.110107421875
0,19.0,0,21,13.0,3.0,3,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,73.6500015258789,1642.75,0.0,0.0,334.19000244140625,1976.93994140625
0,43.0,1,7,1.0,2.0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,29.200000762939453,309.1000061035156,0.0,0.0,0.0,309.1000061035156
0,58.0,0,5,6.0,11.0,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,90.5999984741211,6441.85009765625,0.0,0.0,2517.840087890625,8959.6904296875
0,33.0,1,12,10.0,2.0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,71.3499984741211,2847.199951171875,0.0,0.0,1165.5999755859375,4012.800048828125
0,63.0,1,8,11.0,6.0,2,1,0,1,2,0,1,0,1,0,0,0,1,1,1,0,79.94999694824219,2684.85009765625,0.0,0.0,1395.5699462890625,4080.419921875
0,29.0,0,9,11.0,14.0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,83.55000305175781,680.0499877929688,0.0,0.0,258.55999755859375,938.6099853515625
1,33.0,0,0,2.0,3.0,1,1,0,1,1,1,0,1,1,1,0,0,1,2,0,2,69.25,4447.75,0.0,0.0,1647.3599853515625,6095.10986328125
0,75.0,1,17,15.0,27.0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,69.0999984741211,69.0999984741211,0.0,0.0,16.190000534057617,85.29000091552734
0,53.0,1,14,2.0,22.0,1,1,1,1,2,0,0,0,0,1,1,1,1,1,0,1,94.3499984741211,3921.300048828125,0.0,0.0,1772.4599609375,5693.759765625
0,31.0,0,5,12.0,25.0,1,1,0,1,2,0,1,1,0,1,1,1,1,0,1,0,99.80000305175781,4391.25,0.0,0.0,805.4600219726562,5196.7099609375
0,23.0,0,7,4.0,9.0,1,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,54.04999923706055,2375.199951171875,47.45000076293945,0.0,0.0,2327.75
0,64.0,0,1,6.0,34.0,1,1,1,1,2,0,1,1,1,1,1,1,1,2,1,0,109.75,4900.64990234375,0.0,0.0,336.6000061035156,5237.25
1,59.0,0,9,12.0,30.0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,38.54999923706055,156.10000610351562,0.0,0.0,0.0,156.10000610351562
0,58.0,0,19,11.0,13.0,1,1,1,1,2,0,0,0,0,1,1,1,1,0,1,0,95.5999984741211,4783.5,0.0,0.0,2431.8701171875,7215.3701171875
0,67.0,0,4,8.0,2.0,4,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,74.19999694824219,74.19999694824219,0.0,0.0,48.95000076293945,123.1500015258789
1,71.0,0,19,0.0,34.0,1,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,74.69999694824219,74.69999694824219,0.0,0.0,11.34000015258789,86.04000091552734
1,49.0,1,17,3.0,36.0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,59.29999923706055,3014.64990234375,0.0,0.0,0.0,3014.64990234375
1,26.0,0,15,13.0,11.0,1,1,0,1,2,1,1,0,0,0,0,0,1,0,0,0,81.94999694824219,2070.050048828125,0.0,0.0,1116.699951171875,3186.75
0,62.0,1,19,0.0,20.0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,25.0,1753.0,0.0,0.0,3408.7099609375,5161.7099609375
1,51.0,1,18,11.0,33.0,4,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,54.400001525878906,475.1000061035156,0.0,0.0,12.479999542236328,487.5799865722656
0,24.0,0,18,14.0,12.0,3,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,72.9000015258789,818.4500122070312,0.0,0.0,201.6300048828125,1020.0800170898438
1,30.0,1,10,14.0,5.0,2,1,1,1,2,0,1,0,1,1,1,1,1,1,1,1,104.5,3778.0,0.0,0.0,1432.6400146484375,5210.64013671875
0,28.0,0,11,3.0,22.0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,19.100000381469727,1372.449951171875,0.0,0.0,2800.239990234375,4172.68994140625
0,71.0,1,13,14.0,22.0,1,1,1,1,2,0,1,1,0,1,1,0,1,1,1,0,104.75,5510.64990234375,0.0,0.0,1936.47998046875,7447.1298828125
0,35.0,1,15,7.0,32.0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,86.19999694824219,4524.0498046875,0.0,0.0,233.82000732421875,4757.8701171875
1,64.0,1,11,15.0,33.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,25.100000381469727,25.100000381469727,0.0,0.0,0.0,25.100000381469727
1,74.0,0,15,7.0,22.0,4,1,1,1,2,0,1,0,0,1,0,0,1,0,1,0,90.5999984741211,90.5999984741211,0.0,0.0,13.020000457763672,103.62000274658203
0,24.0,0,15,11.0,9.0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20.0,185.39999389648438,0.0,0.0,393.8999938964844,579.2999877929688
0,37.0,1,5,4.0,21.0,1,1,0,1,0,1,1,1,1,0,0,0,1,2,0,0,65.5999984741211,2313.800048828125,0.0,0.0,1421.9100341796875,3735.7099609375
1,28.0,0,21,10.0,34.0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,70.30000305175781,208.85000610351562,0.0,0.0,80.12999725341797,288.9800109863281
1,30.0,1,0,15.0,9.0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,55.099998474121094,1466.0999755859375,0.0,0.0,1177.5,2643.60009765625
0,63.0,1,19,12.0,12.0,1,1,0,1,2,0,0,0,0,1,1,1,1,0,1,0,91.30000305175781,91.30000305175781,0.0,0.0,43.61000061035156,134.91000366210938
0,74.0,0,1,11.0,24.0,1,1,1,1,2,0,1,0,0,0,1,0,1,0,1,0,-1.0,2187.550048828125,23.329999923706055,0.0,909.0,3073.219970703125
0,41.0,0,13,2.0,36.0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,24.75,1342.1500244140625,0.0,0.0,1558.97998046875,2901.1298828125
1,63.0,0,16,2.0,31.0,2,1,0,1,2,0,0,0,0,0,1,1,1,1,1,0,78.94999694824219,2647.199951171875,0.0,0.0,120.36000061035156,2767.56005859375
1,56.0,0,5,4.0,15.0,0,1,1,1,2,0,1,1,1,1,1,1,0,2,1,0,110.1500015258789,7998.7998046875,0.0,70.0,925.2000122070312,8994.0
0,29.0,1,0,4.0,23.0,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,0,117.5999984741211,8308.900390625,5.440000057220459,0.0,3385.43994140625,11688.900390625
0,75.0,1,12,3.0,15.0,1,1,1,1,2,1,1,1,1,0,0,0,1,2,1,0,96.5999984741211,6827.5,0.0,0.0,2022.47998046875,8849.98046875
1,49.0,0,19,15.0,33.0,0,1,1,1,2,0,1,1,0,1,1,1,1,1,1,0,106.5,7397.0,0.0,0.0,415.1000061035156,7812.10009765625
1,32.0,1,0,9.0,6.0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,54.54999923706055,2978.300048828125,0.0,50.0,0.0,3028.300048828125
0,31.0,0,6,10.0,6.0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,19.850000381469727,854.7999877929688,0.0,0.0,1270.22998046875,2125.030029296875
0,23.0,0,12,9.0,10.0,2,1,1,1,2,0,1,0,1,0,0,1,0,0,0,1,85.30000305175781,2917.5,23.889999389648438,130.0,1579.9000244140625,4603.509765625
0,26.0,0,12,0.0,19.0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,19.950000762939453,107.05000305175781,0.0,0.0,120.80000305175781,227.85000610351562
1,60.0,1,6,7.0,6.0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,19.850000381469727,198.5,0.0,0.0,155.10000610351562,353.6000061035156
0,25.0,1,10,11.0,10.0,1,1,0,1,1,1,1,0,1,1,1,1,1,2,0,0,78.44999694824219,3126.449951171875,0.0,0.0,1323.8900146484375,4450.33984375
1,55.0,0,2,12.0,20.0,1,1,0,1,2,1,1,1,1,1,1,1,1,2,1,0,111.05000305175781,7321.0498046875,0.0,0.0,3141.6298828125,10462.6796875
0,69.0,0,17,12.0,14.0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,98.9000015258789,1120.949951171875,0.0,0.0,419.0400085449219,1539.989990234375
1,67.0,1,10,4.0,22.0,1,0,0,1,0,0,1,1,0,1,1,1,1,2,1,0,53.95000076293945,2215.39990234375,0.0,0.0,0.0,2215.39990234375
0,18.0,1,17,2.0,12.0,2,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,41.150001525878906,1700.9000244140625,0.0,0.0,0.0,1700.9000244140625
0,23.0,0,19,13.0,6.0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,20.799999237060547,1021.7999877929688,0.0,0.0,2006.050048828125,3027.85009765625
0,39.0,1,2,3.0,20.0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,19.149999618530273,501.3500061035156,0.0,0.0,544.8599853515625,1046.2099609375
0,21.0,0,9,5.0,3.0,3,1,1,1,2,0,0,1,0,0,1,1,0,0,0,1,89.6500015258789,1761.050048828125,0.0,80.0,412.489990234375,2253.5400390625
0,49.0,0,20,2.0,30.0,1,1,1,1,2,0,1,0,0,0,0,0,1,0,1,0,77.8499984741211,3365.85009765625,0.0,0.0,2112.590087890625,5478.43994140625
0,63.0,0,5,7.0,9.0,1,1,0,1,2,0,1,1,1,0,0,0,1,0,0,0,85.80000305175781,4433.2998046875,0.0,0.0,877.239990234375,5310.5400390625
0,77.0,0,19,11.0,24.0,4,1,1,1,2,0,0,1,0,1,1,0,1,0,1,0,100.5999984741211,819.4000244140625,0.0,0.0,323.6000061035156,1143.0
0,56.0,1,11,1.0,29.0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,60.849998474121094,2003.5999755859375,0.0,0.0,418.20001220703125,2421.800048828125
0,66.0,1,12,9.0,23.0,0,1,0,1,2,1,1,1,1,1,1,1,1,2,1,0,109.69999694824219,7904.25,0.0,0.0,707.1599731445312,8611.41015625
0,34.0,0,0,14.0,25.0,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,24.299999237060547,100.19999694824219,0.0,0.0,0.0,100.19999694824219
0,28.0,1,0,3.0,6.0,3,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,20.5,290.54998779296875,0.0,0.0,435.8399963378906,726.3900146484375
1,63.0,1,18,8.0,9.0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,59.900001525878906,3043.60009765625,0.0,0.0,502.3500061035156,3545.949951171875
1,61.0,1,12,9.0,6.0,1,1,1,1,2,1,1,1,0,1,1,1,0,2,1,1,108.4000015258789,7767.25,0.0,30.0,2007.3599853515625,9804.6103515625
0,78.0,0,2,14.0,12.0,0,1,1,1,2,1,1,1,1,1,1,0,1,2,1,1,113.0,7987.60009765625,0.0,0.0,3234.0,11221.599609375
0,26.0,1,17,14.0,12.0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,19.100000381469727,1143.800048828125,0.0,0.0,2568.7099609375,3712.510009765625
0,24.0,1,0,3.0,3.0,1,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,70.25,2868.050048828125,0.0,0.0,1671.97998046875,4540.02978515625
1,25.0,0,18,10.0,3.0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,20.299999237060547,1401.1500244140625,0.0,0.0,1955.52001953125,3356.669921875
0,46.0,0,21,10.0,32.0,1,1,1,1,2,0,1,0,0,1,1,1,1,0,1,1,98.4000015258789,5149.5,0.0,0.0,2212.219970703125,7361.72021484375
0,22.0,0,11,11.0,7.0,2,1,0,1,1,0,1,1,0,1,1,1,0,2,1,1,73.5,1905.699951171875,17.030000686645508,70.0,887.1199951171875,2845.7900390625
1,31.0,0,17,9.0,32.0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,19.649999618530273,270.6000061035156,0.0,0.0,353.3999938964844,624.0
0,20.0,1,9,6.0,8.0,1,1,1,1,1,1,1,0,1,1,1,1,0,2,1,0,82.5,5215.10009765625,0.0,40.0,308.75,5563.85009765625
1,26.0,0,21,11.0,29.0,3,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,31.649999618530273,389.95001220703125,0.0,0.0,0.0,389.95001220703125
0,63.0,0,18,3.0,10.0,1,1,1,1,2,1,0,0,0,0,1,1,1,2,1,0,90.8499984741211,6470.10009765625,0.0,0.0,2695.0,9165.099609375
0,61.0,1,4,12.0,12.0,1,1,1,1,2,0,0,1,1,0,0,0,1,0,1,1,84.30000305175781,2281.60009765625,0.0,0.0,979.9400024414062,3261.5400390625
0,46.0,1,6,2.0,18.0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,20.450000762939453,900.9000244140625,0.0,0.0,2429.419921875,3330.320068359375
0,30.0,0,12,13.0,6.0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,19.799999237060547,576.6500244140625,0.0,0.0,294.29998779296875,870.9500122070312
1,50.0,0,12,5.0,17.0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,35.400001525878906,1748.9000244140625,0.0,0.0,0.0,1748.9000244140625
1,34.0,0,18,1.0,23.0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,1,25.450000762939453,1866.449951171875,0.0,0.0,486.0,2352.449951171875
0,20.0,0,15,15.0,12.0,1,1,1,1,2,0,0,0,0,1,1,1,1,0,1,0,94.19999694824219,4186.2998046875,0.0,0.0,287.2799987792969,4473.580078125
0,47.0,0,18,10.0,12.0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,66.19999694824219,4692.5498046875,0.0,0.0,2629.1298828125,7321.68017578125
0,22.0,1,6,13.0,4.0,4,1,1,1,2,0,0,1,1,0,0,0,1,0,1,0,82.75,417.75,0.0,0.0,148.6999969482422,566.4500122070312
0,45.0,1,17,13.0,30.0,1,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,25.5,1821.800048828125,16.850000381469727,0.0,667.760009765625,2472.7099609375
0,71.0,1,19,11.0,5.0,4,1,0,1,2,0,0,0,0,0,0,0,1,2,1,0,69.69999694824219,572.8499755859375,0.0,0.0,334.79998779296875,907.6500244140625
1,76.0,0,6,10.0,17.0,3,1,1,1,2,0,0,0,0,1,1,1,1,0,1,0,95.44999694824219,1752.550048828125,45.61000061035156,0.0,203.94000244140625,1910.8800048828125
0,56.0,0,16,6.0,25.0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,45.0,2689.35009765625,0.0,0.0,0.0,2689.35009765625
0,37.0,1,9,15.0,9.0,1,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,80.44999694824219,3398.89990234375,0.0,0.0,1798.68994140625,5197.58984375
1,23.0,1,11,7.0,7.0,4,1,0,1,2,0,0,0,0,1,1,1,1,0,1,0,90.75,90.75,0.0,0.0,23.059999465942383,113.80999755859375
0,41.0,0,17,4.0,11.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,45.650001525878906,45.650001525878906,0.0,0.0,36.9900016784668,82.63999938964844
0,61.0,0,11,3.0,8.0,1,1,1,1,2,0,0,0,1,0,0,0,1,0,1,0,80.5,502.8500061035156,0.0,0.0,216.72000122070312,719.5700073242188
0,70.0,1,17,9.0,7.0,4,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,49.54999923706055,49.54999923706055,0.0,0.0,24.239999771118164,73.79000091552734
1,61.0,0,19,1.0,20.0,2,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,75.75,1929.0,0.0,0.0,682.02001953125,2611.02001953125
0,52.0,1,6,1.0,21.0,1,1,1,1,2,0,0,0,0,0,1,1,1,0,1,0,84.5,3906.699951171875,0.0,0.0,1332.800048828125,5239.5
1,42.0,0,15,1.0,25.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,45.900001525878906,505.95001220703125,0.0,0.0,369.4800109863281,875.4299926757812
0,41.0,1,11,0.0,11.0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,50.29999923706055,913.2999877929688,0.0,0.0,689.760009765625,1603.06005859375
0,45.0,1,10,13.0,5.0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,-4.0,395.6000061035156,0.0,0.0,146.1999969482422,541.7999877929688
0,65.0,0,5,10.0,15.0,0,1,0,1,1,1,1,1,1,1,0,0,0,2,0,0,74.4000015258789,5360.75,0.0,140.0,379.44000244140625,5880.18994140625
1,24.0,1,7,3.0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,54.599998474121094,1242.25,28.420000076293945,0.0,180.47999572753906,1394.31005859375
0,66.0,1,15,9.0,29.0,1,1,1,1,2,0,0,0,0,1,0,0,1,1,1,1,86.05000305175781,3865.60009765625,0.0,0.0,2071.760009765625,5937.35986328125
0,62.0,0,9,1.0,12.0,1,0,0,1,0,1,1,0,1,0,0,0,1,2,0,0,37.70000076293945,2288.699951171875,0.0,0.0,0.0,2288.699951171875
0,43.0,1,15,7.0,29.0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,48.70000076293945,2495.199951171875,0.0,0.0,0.0,2495.199951171875
0,57.0,1,5,10.0,9.0,3,0,0,1,0,0,0,1,1,0,0,0,0,2,0,1,35.400001525878906,450.3999938964844,0.0,100.0,0.0,550.4000244140625
0,77.0,1,11,3.0,25.0,2,1,1,1,2,0,0,0,1,1,1,0,1,0,1,0,99.55000305175781,3734.25,0.0,0.0,1800.8199462890625,5535.06982421875
1,43.0,1,21,10.0,23.0,1,1,0,1,2,1,0,0,0,0,0,0,1,0,1,1,73.55000305175781,4764.0,21.899999618530273,0.0,3098.239990234375,7840.33984375
1,60.0,1,9,10.0,8.0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19.950000762939453,19.950000762939453,0.0,0.0,17.610000610351562,37.560001373291016
1,30.0,1,7,9.0,6.0,1,1,0,1,2,0,0,0,0,0,1,1,1,0,1,0,80.80000305175781,80.80000305175781,0.0,0.0,41.77000045776367,122.56999969482422
1,33.0,0,11,14.0,15.0,2,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,54.75,1266.3499755859375,15.760000228881836,0.0,997.5,2248.090087890625
1,31.0,0,9,3.0,10.0,1,1,1,1,2,0,0,0,1,0,0,0,1,0,1,0,80.5,2088.800048828125,0.0,0.0,628.1599731445312,2716.9599609375
0,49.0,0,17,10.0,21.0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,19.649999618530273,19.649999618530273,0.0,0.0,6.079999923706055,25.729999542236328
0,25.0,1,17,7.0,33.0,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,76.0,76.0,0.0,0.0,35.0099983215332,111.01000213623047
0,65.0,0,19,0.0,19.0,4,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,75.8499984741211,256.6000061035156,0.0,0.0,133.02000427246094,389.6199951171875
1,51.0,0,19,11.0,8.0,2,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,59.45000076293945,1507.0,0.0,0.0,84.76000213623047,1591.760009765625
0,36.0,0,2,8.0,20.0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,1,25.399999618530273,1782.050048828125,0.0,0.0,653.0999755859375,2435.14990234375
0,76.0,1,11,6.0,21.0,1,0,0,1,1,0,1,0,0,0,0,0,1,2,1,1,29.350000381469727,381.20001220703125,38.97999954223633,0.0,0.0,342.2200012207031
1,21.0,1,5,1.0,5.0,1,1,1,0,2,0,0,0,0,0,0,0,0,2,0,1,25.25,1573.050048828125,0.0,0.0,1543.5,3116.550048828125
1,64.0,1,19,9.0,31.0,1,1,0,1,2,1,1,1,1,1,1,0,1,2,1,0,110.0,6668.35009765625,0.0,0.0,1477.199951171875,8145.5498046875
1,38.0,0,7,1.0,3.0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-9.0,45.79999923706055,0.0,10.0,22.110000610351562,77.91000366210938
1,27.0,1,10,15.0,14.0,1,1,0,1,2,0,0,0,0,1,1,1,1,1,1,0,90.6500015258789,3974.14990234375,0.0,0.0,1045.0,5019.14990234375
0,58.0,0,0,2.0,30.0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,78.94999694824219,2862.550048828125,0.0,0.0,519.4600219726562,3382.010009765625
1,51.0,0,2,9.0,18.0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,56.400001525878906,2928.5,0.0,0.0,0.0,2928.5
0,47.0,1,9,11.0,2.0,1,1,1,1,2,0,0,1,1,1,1,1,1,0,1,0,107.3499984741211,5118.9501953125,0.0,0.0,1773.780029296875,6892.72998046875
0,47.0,1,17,9.0,36.0,1,1,0,1,2,1,1,1,1,1,1,1,1,1,0,0,110.5,5835.5,0.0,0.0,354.0400085449219,6189.5400390625
0,54.0,0,12,2.0,21.0,0,1,1,1,2,1,0,1,0,1,1,1,1,2,0,0,105.55000305175781,7405.5,0.0,0.0,1776.4200439453125,9181.919921875
0,18.0,0,15,2.0,7.0,1,1,1,1,2,0,1,0,0,1,1,1,1,0,0,0,101.0999984741211,6039.89990234375,0.0,0.0,544.5700073242188,6584.47021484375
1,24.0,0,15,4.0,4.0,1,1,0,1,2,1,1,1,1,1,1,1,1,2,1,0,106.30000305175781,5487.0,0.0,0.0,2590.639892578125,8077.64013671875
1,25.0,0,2,10.0,6.0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,70.30000305175781,1706.449951171875,0.0,0.0,1069.6800537109375,2776.1298828125
1,75.0,0,12,5.0,26.0,0,0,0,1,1,1,1,1,1,0,0,0,1,2,0,1,46.349998474121094,3353.39990234375,18.639999389648438,0.0,0.0,3334.760009765625
0,32.0,1,13,15.0,30.0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,58.5,224.85000610351562,0.0,0.0,140.8000030517578,365.6499938964844
0,38.0,1,0,15.0,2.0,3,1,1,1,0,1,1,0,1,1,0,0,0,1,0,2,77.5,1625.0,18.389999389648438,80.0,368.9700012207031,2055.580078125
0,71.0,1,7,12.0,4.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,29.649999618530273,291.3999938964844,0.0,110.0,0.0,401.3999938964844
1,30.0,1,9,3.0,36.0,1,1,0,1,2,0,1,0,0,0,0,0,1,0,1,0,74.05000305175781,1565.699951171875,0.0,0.0,106.47000122070312,1672.1700439453125
0,28.0,1,5,5.0,23.0,4,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,80.19999694824219,384.25,0.0,0.0,244.3000030517578,628.5499877929688
1,52.0,1,15,5.0,12.0,1,1,1,1,2,0,1,0,0,0,1,1,1,0,1,0,90.75,512.25,0.0,0.0,140.10000610351562,652.3499755859375
1,40.0,1,0,14.0,25.0,1,1,1,0,2,0,0,0,0,0,0,0,0,2,1,0,26.25,1988.050048828125,0.0,0.0,185.0399932861328,2173.090087890625
1,27.0,0,17,11.0,9.0,1,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,73.5,632.2000122070312,0.0,0.0,138.39999389648438,770.5999755859375
0,39.0,0,5,15.0,29.0,0,1,1,1,2,0,1,0,0,1,1,1,0,2,0,0,98.30000305175781,6859.5,0.0,20.0,2071.300048828125,8950.7998046875
0,50.0,0,17,6.0,33.0,1,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,53.099998474121094,1901.25,0.0,0.0,0.0,1901.25
